contract,month,retention_probability
One year,34,0.9633953595413302
One year,35,0.9603498526091653
One year,36,0.9593071274706106
One year,37,0.9582435940698666
One year,38,0.9539027397365943
One year,39,0.9494762769071906
One year,40,0.9472156191050304
One year,41,0.9425894133951156
One year,42,0.9402061278998047
One year,43,0.9365429871417538
One year,44,0.9340355092645337
One year,45,0.9301651963808414
One year,46,0.9248801668559502
One year,47,0.923522046199774
One year,48,0.9165468041589897
One year,49,0.9107641744797536
One year,50,0.9092759977240679
One year,51,0.9061459598661544
One year,52,0.9028267438959483
One year,53,0.8906498899320339
One year,54,0.8777419205127298
One year,55,0.8739256512931093
One year,56,0.8619540670288203
One year,57,0.8598099026829775
One year,58,0.8464102678359697
One year,59,0.8392975765096171
One year,60,0.8318260847306003
One year,61,0.8265109020805645
One year,62,0.8148287691889662
One year,63,0.8084876892730982
One year,64,0.8016360986860379
One year,65,0.7900181842123272
One year,66,0.7691182322490382
One year,67,0.7391525868367375
One year,68,0.7145141672755129
One year,69,0.6919505619931284
One year,70,0.6438984396324943
One year,71,0.6438984396324943
One year,72,0.5681456820286713
Two year,0,1.0
Two year,1,1.0
Two year,2,1.0
Two year,3,1.0
Two year,4,1.0
Two year,5,1.0
Two year,6,1.0
Two year,7,1.0
Two year,8,1.0
Two year,9,1.0
Two year,10,1.0
Two year,11,1.0
Two year,12,1.0
Two year,13,1.0
Two year,14,1.0
Two year,15,1.0
Two year,16,1.0
Two year,17,1.0
Two year,18,1.0
Two year,19,1.0
Two year,20,1.0
Two year,21,1.0
Two year,22,1.0
Two year,23,1.0
Two year,24,1.0
Two year,25,0.9993493819128172
Two year,26,0.9993493819128172
Two year,27,0.9993493819128172
Two year,28,0.9993493819128172
Two year,29,0.9993493819128172
Two year,30,0.9993493819128172
Two year,31,0.9993493819128172
Two year,32,0.9993493819128172
Two year,33,0.9986759658872691
Two year,34,0.9986759658872691
Two year,35,0.9986759658872691
Two year,36,0.9986759658872691
Two year,37,0.9986759658872691
Two year,38,0.9986759658872691
Two year,39,0.9979721773277996
Two year,40,0.9979721773277996
